Time,medNND_px,meanNND_px,Treatment,Population,Sex,Day,Box,Diameter,medianNNDscaled_mm,meanNNDscaled_mm
525,45.54119,55.996205,0,2,1,1,2,486,8.433553704,10.36966759
555,47.359575,59.499754,0,2,1,1,2,486,8.770291667,11.01847296
585,45.937846,55.608005,0,2,1,1,2,486,8.507008519,10.2977787
615,65.764732,61.716591,0,2,1,1,2,486,12.17865407,11.42899833
645,43.857558,51.624833,0,2,1,1,2,486,8.12177,9.560154259
675,40.607881,43.548963,0,2,1,1,2,486,7.519977963,8.064622778
705,44.204072,53.133586,0,2,1,1,2,486,8.185939259,9.839552963
735,37.062565,46.775183,0,2,1,1,2,486,6.863437963,8.662070926
765,46.033795,59.481072,0,2,1,1,2,486,8.524776852,11.01501333
795,39.115214,45.575317,0,2,1,1,2,486,7.243558148,8.439873519
825,39.954868,45.813505,0,2,1,1,2,486,7.39904963,8.483982407
855,40.706265,40.296686,0,2,1,1,2,486,7.538197222,7.462349259
885,49.42039,53.861497,0,2,1,1,2,486,9.151924074,9.974351296
915,36.138622,46.70478,0,2,1,1,2,486,6.692337407,8.649033333
945,45.90194,46.862018,0,2,1,1,2,486,8.500359259,8.678151481
975,41.977767,45.972908,0,2,1,1,2,486,7.773660556,8.513501481
1005,43.14159,48.058377,0,2,1,1,2,486,7.989183333,8.899699444
1035,48.270833,55.085523,0,2,1,1,2,486,8.939043148,10.20102278
1065,49.052027,52.619289,0,2,1,1,2,486,9.083708704,9.744312778
1095,32.0275,49.027389,0,2,1,1,2,486,5.931018519,9.079146111
1125,36.071269,45.723224,0,2,1,1,2,486,6.67986463,8.467263704
1155,42.714808,50.655133,0,2,1,1,2,486,7.91014963,9.380580185
1185,43.382024,43.776872,0,2,1,1,2,486,8.033708148,8.106828148
1215,41.629317,46.594081,0,2,1,1,2,486,7.709132778,8.628533519
1245,44.384682,49.70298,0,2,1,1,2,486,8.219385556,9.204255556
1275,38.948684,46.886781,0,2,1,1,2,486,7.212719259,8.682737222
1305,34.414213,40.824442,0,2,1,1,2,486,6.373002407,7.560081852
1335,55.362442,55.314052,0,2,1,1,2,486,10.25230407,10.24334296
1365,55.108983,58.57456,0,2,1,1,2,486,10.20536722,10.84714074
1395,46.577428,57.352373,0,2,1,1,2,486,8.62544963,10.62080981
1425,51.107729,62.254228,0,2,1,1,2,486,9.464394259,11.52856074
1455,52.478567,58.291417,0,2,1,1,2,486,9.718253148,10.79470685
1485,49.688901,55.662159,0,2,1,1,2,486,9.201648333,10.30780722
1515,54.701799,60.954352,0,2,1,1,2,486,10.12996278,11.28784296
1545,47.801674,55.292401,0,2,1,1,2,486,8.852161852,10.23933352
1575,58.238907,60.779237,0,2,1,1,2,486,10.78498278,11.25541426
1605,53.831858,60.137086,0,2,1,1,2,486,9.968862593,11.13649741
1635,54.508155,61.078774,0,2,1,1,2,486,10.09410278,11.31088407
1665,40.169346,49.991063,0,2,1,1,2,486,7.438767778,9.257604259
1695,35.777088,47.03079,0,2,1,1,2,486,6.625386667,8.709405556
1725,48.694712,52.506311,0,2,1,1,2,486,9.017539259,9.723390926
1755,43.835033,57.224244,0,2,1,1,2,486,8.117598704,10.59708222
1785,56.295977,60.82204,0,2,1,1,2,486,10.42518093,11.26334074
15,35.157318,48.05493,0,3,1,1,3,468,6.761022692,9.241332692
45,53.894606,56.018917,0,3,1,1,3,468,10.36434731,10.77286865
75,26,38.929104,0,3,1,1,3,468,5,7.486366154
105,37.576588,44.764171,0,3,1,1,3,468,7.226266923,8.608494423
135,44.7,47.308535,0,3,1,1,3,468,8.596153846,9.097795192
165,54.102758,52.797892,0,3,1,1,3,468,10.40437654,10.15344077
195,48.764741,48.080593,0,3,1,1,3,468,9.377834808,9.246267885
225,51.320394,57.065768,0,3,1,1,3,468,9.869306538,10.97418615
255,38.247269,42.483606,0,3,1,1,3,468,7.355244038,8.169924231
285,40.459857,55.191715,0,3,1,1,3,468,7.780741731,10.61379135
315,39.043688,59.086261,0,3,1,1,3,468,7.508401538,11.3627425
345,24.514614,42.686141,0,3,1,1,3,468,4.714348846,8.208873269
375,52.369867,47.493132,0,3,1,1,3,468,10.07112827,9.133294615
405,41.678888,42.542303,0,3,1,1,3,468,8.015170769,8.181212115
435,44.926959,53.751661,0,3,1,1,3,468,8.639799808,10.33685788
465,34.539832,40.038215,0,3,1,1,3,468,6.642275385,7.699656731
495,33.094094,37.229844,0,3,1,1,3,468,6.364248846,7.159585385
525,38.600518,50.572634,0,3,1,1,3,468,7.423176538,9.725506538
555,36.906411,36.374793,0,3,1,1,3,468,7.097386731,6.9951525
585,38.323941,47.189243,0,3,1,1,3,468,7.369988654,9.074854423
615,31.378271,32.402099,0,3,1,1,3,468,6.034282885,6.231172885
645,31.144823,45.92841,0,3,1,1,3,468,5.989389038,8.832386538
